;F, MHz;Eeq_max_ref, dBuV/m;AF;M0;MA_vert;MA_hor;Eeq_hor;Eeq_vert;Eeq max;delta;-6 dB;6 dB
170;50,0;82,2;14,34;118,567;46,768;51,546;67,319;62,54100000000001;67,319;-14,881;-6;6
171;51,0;82,03;14,22;118,539;45,736;51,155;66,836;61,41699999999999;66,836;-15,194000000000003;-6;6
172;52,0;81,87;14,22;118,563;48,252;53,442;69,099;63,909000000000006;69,099;-12,771;-6;6
173;53,0;81,75;14,22;118,605;53,974;58,704;74,319;69,58899999999998;74,319;-7,430999999999997;-6;6
174;54,0;81,65;14,22;118,566;58,305;64,897;80,55099999999999;73,959;80,55099999999999;-1,099000000000018;-6;6
175;55,0;81,57;14,11;118,566;51,794;63,309;78,853;67,33799999999998;78,853;-2,7169999999999987;-6;6
176;56,0;81,52;13,95;118,574;46,408;60,832;76,208;61,78400000000002;76,208;-5,311999999999998;-6;6
177;57,0;81,48;13,95;118,572;44,083;60,365;75,74300000000001;59,461;75,74300000000001;-5,736999999999995;-6;6
178;58,0;81,47;13,95;118,556;43,314;62,545;77,93900000000002;58,708;77,93900000000002;-3,5309999999999775;-6;6
179;59,0;81,46;13,95;118,577;44,681;66,59;81,96300000000001;60,05399999999999;81,96300000000001;0,5030000000000143;-6;6
180;60,0;81,47;13,79;118,574;43,854;67,073;82,28899999999999;59,069999999999986;82,28899999999999;0,8189999999999884;-6;6
181;61,0;81,49;12,79;118,53;41,582;65,703;79,963;55,84199999999999;79,963;-1,527000000000001;-6;6
182;62,0;81,52;12,79;118,505;40,641;65,96;80,24499999999998;54,925999999999995;80,24499999999998;-1,27500000000002;-6;6
183;63,0;81,55;12,79;118,502;41,459;67,98;82,26800000000003;55,74700000000001;82,26800000000003;0,718000000000032;-6;6
184;64,0;81,59;12,79;118,507;43,254;70,907;85,18999999999997;57,536999999999985;85,18999999999997;3,599999999999966;-6;6
185;65,0;81,63;11,8;118,462;43,725;70,866;84,20399999999998;57,06299999999999;84,20399999999998;2,573999999999984;-6;6
186;66,0;81,68;10,78;118,457;44,468;68,661;80,98400000000001;56,791000000000025;80,98400000000001;-0,695999999999998;-6;6
187;67,0;81,73;10,78;118,447;47,385;67,787;80,12;59,71799999999999;80,12;-1,6099999999999994;-6;6
188;68,0;81,79;10,78;118,391;51,173;68,86;81,24900000000001;63,562;81,24900000000001;-0,5409999999999968;-6;6
189;69,0;81,85;10,78;118,37;54,708;71,345;83,755;67,118;83,755;1,9050000000000011;-6;6
190;70,0;81,91;9,75;118,355;55,283;72,018;83,413;66,67800000000001;83,413;1,5030000000000001;-6;6
191;71,0;81,97;9,32;118,323;52,54;70,201;81,19800000000001;63,537;81,19800000000001;-0,7719999999999914;-6;6
192;72,0;82,03;9,32;118,337;50,301;68,865;79,84800000000001;61,283999999999985;79,84800000000001;-2,181999999999988;-6;6
193;73,0;82,1;9,32;118,34;49,662;68,967;79,94699999999997;60,642;79,94699999999997;-2,15300000000002;-6;6
194;74,0;82,17;9,32;118,314;50,517;70,375;81,381;61,523;81,381;-0,7890000000000015;-6;6
